player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SI_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SI_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SI_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SI_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SI_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SI_release_spin_rate,SL_release_spin_rate,mlbAM_ID,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,,Year
"Cole, Gerrit",-1.290447761,0.792292683,-1.016344937,0.420540541,0.882686567,-0.941902439,1.49153481,0.28875,-1.927313433,-1.84195122,-1.907721519,-1.881351351,5.463283582,5.763560976,5.614287975,5.674898649,88.31492537,83.36195122,96.71360759,88.70912162,1750.223881,2803.195122,2505.107595,2581.577703,543037,-1.356666667,1.333333333,-2.066666667,5.436666667,95.96666667,2504.666667,,,,,,,,2020
"Corbin, Patrick",0.878666667,-0.259545455,0.663152174,-0.312790698,0.939333333,-0.153636364,1.27451087,0.072139535,2.341333333,2.344090909,2.220923913,2.378651163,6.354,6.648636364,6.446793478,6.385581395,77.71666667,65.04545455,90.17119565,79.20232558,1550.45,1851.590909,2157.715847,2241.006977,571578,1.114543011,1.043575269,2.244892473,6.397768817,90.12956989,2095.668464,,,,,,,,2020
"Cordero, Jimmy",-1.067608696,0.306666667,-0.422820513,0.142121212,0.602391304,-0.503333333,1.081794872,-0.174848485,-2.615434783,-2.505833333,-2.416923077,-2.594393939,6.238043478,6.320833333,6.359487179,6.170606061,88.5,81.23333333,97.10769231,87.51212121,1656.934783,2228.166667,2131.333333,2172.606061,622772,-1.22488,0.84456,-2.4996,6.29104,96.608,2073.955645,-0.11,0.758181818,-2.506363636,6.278181818,92.59090909,2070.636364,,2020
"Crichton, Stefan",-1.0275,1.110738255,-1.022,,0.3475,-0.596711409,0.772,,-2.725,-2.912147651,-2.796,,5.255,5.32852349,5.278,,86.45,77.8,91.68,,1909.75,2584.135135,1893.6,,592233,-1.451844262,0.675,-2.906639344,5.322991803,92.27786885,1964.080169,,,,,,,,2020
"Cueto, Johnny",-0.936850649,0.279589041,-0.888306878,0.081327434,0.387142857,0.004703196,1.232619048,0.619911504,-2.625746753,-2.687534247,-2.523888889,-2.681504425,5.432207792,5.452557078,5.535291005,5.454070796,82.45454545,80.69726027,91.39761905,84.83274336,1333.334416,2337.392694,2222.188329,2231.123894,456501,-1.375378151,0.797226891,-2.514033613,5.578991597,90.85462185,2122.661017,,,,,,,,2020
"Curtiss, John",,,-0.488364486,0.43988024,,,1.419813084,0.143772455,,,-2.458925234,-2.704850299,,,6.376074766,6.265868263,,,93.99579439,85.15868263,,,2308.775701,2567.634731,595928,-1.006666667,1.42,-2.606666667,6.296666667,94.06666667,2412.666667,,,,,,,,2020
"Darvish, Yu",-0.60407767,0.819621212,-0.509022989,0.695016949,0.620873786,-1.080757576,1.525747126,-0.128338983,-1.694757282,-1.646060606,-1.845804598,-1.875542373,5.825533981,5.793863636,5.766321839,5.749305085,90.20485437,77.53560606,95.86896552,84.88915254,1638.067961,2724.780303,2581.770115,2791.683051,506433,-1.1703,1.0434,-1.9482,5.7237,95.236,2491.63,0.110392157,1.119803922,-1.909215686,5.755686275,92.68431373,2676.705882,,2020
"Davies, Zach",-1.200527523,0.803666667,,,0.686399083,-0.952333333,,,-2.027775229,-2.034,,,5.531743119,5.747666667,,,79.3733945,74.53666667,,,1727.860092,2509.1,,,605200,-1.208888889,1.04877551,-2.063265306,5.466689342,88.45170068,2051.161731,-0.434527027,1.140810811,-2.106148649,5.51777027,86.90135135,2184.14966,,2020
"Dayton, Grant",1.01,-0.523722222,0.691836735,,0.93,-1.077611111,1.503163265,,3.345,3.336444444,3.340272109,,5.505,5.578388889,5.629829932,,82.85,75.85222222,90.55986395,,1903.5,2440.516667,2222.642857,,594795,1.086428571,1.592142857,3.369285714,5.526428571,90.38571429,2324.357143,,,,,,,,2020
"deGrom, Jacob",-1.125989583,0.604,-0.575795678,0.305583127,0.317395833,-0.362,1.393732809,0.411985112,-0.99859375,-1.139,-1.13848723,-1.12044665,5.501145833,5.618333333,5.489017682,5.544739454,91.39739583,84.06666667,98.56817289,92.5044665,1637.8125,2631.833333,2477.324165,2565.240695,594798,,,,,,,,,,,,,,2020
