mlbAM_ID,Year,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CH,Stf+ CU,fg_ID
518489,2020,"Brasier, Ryan",-1.171904762,,-0.613765182,0.530285714,0.478095238,,1.376032389,0.106214286,-1.22952381,,-1.455506073,-1.097928571,5.609047619,,5.78388664,5.831214286,87.42380952,,96.23036437,86.16214286,1528.047619,,2252.854251,2425.9,-1.29,1.069375,-1.566875,5.6625,95.15625,2279.6875,,,,,,,108.0,98.0,,112.0,128.0,,5615
643230,2020,"Brault, Steven",1.038121547,-1.056842105,0.755476923,-0.526190476,0.282099448,-0.441052632,1.2224,-0.178035714,2.364309392,2.263157895,2.651723077,2.371488095,5.709171271,5.714736842,5.718,5.785535714,85.02265193,73.89473684,92.18246154,82.99821429,1647.411111,2317.578947,2160.349845,2386.245509,1.170188679,0.633773585,2.576415094,5.65754717,91.23962264,1973.019608,,,,,,,90.0,85.0,,109.0,105.0,112.0,15291
605155,2020,"Brewer, Colten",-0.795,0.893975904,-0.518571429,0.390666667,0.595,-1.248313253,0.908571429,0.482952381,-2.05,-1.546204819,-1.634285714,-1.70952381,6.465,6.589518072,6.468571429,6.504666667,85.6,80.80542169,93.95714286,89.05333333,1990.0,2780.939597,2201.428571,2558.580952,-1.025,0.8125,-1.6775,6.3975,94.675,2345.0,0.14536036,0.878288288,-1.589954955,6.488018018,93.77162162,2405.0,69.0,106.0,98.0,109.0,111.0,131.0,12997
664141,2020,"Brubaker, JT",-1.094,0.686454545,-0.664655172,0.137346154,0.630571429,-0.644090909,1.205862069,0.211846154,-2.631428571,-2.314181818,-2.443965517,-2.456115385,5.937142857,6.224454545,6.148448276,6.083153846,87.85142857,80.60909091,93.42758621,87.52615385,1758.085714,2857.081818,2249.568966,2633.884615,-1.320106383,0.794929078,-2.481666667,6.069858156,93.79184397,2298.62766,,,,,,,71.0,93.0,,109.0,82.0,87.0,17578
663460,2020,"Bubic, Kris",1.051582734,-0.837837838,0.50419802,,0.856151079,-0.984391892,1.358356436,,1.289064748,0.990540541,1.084752475,,5.688021583,5.870878378,5.783742574,,79.63705036,78.48513514,91.43287129,,1739.956204,2567.027211,2176.795229,,,,,,,,,,,,,,75.0,,,,113.0,103.0,21455
621111,2020,"Buehler, Walker",,0.9884375,-0.433684211,0.894090909,,-1.112916667,1.606873065,-0.129090909,,-0.887916667,-0.851362229,-1.016136364,,5.773541667,5.822693498,5.667272727,,81.94479167,96.81764706,87.45,,3042.447917,2546.009288,2948.681818,-1.147307692,1.246730769,-1.181730769,5.585384615,97.16923077,2450.769231,0.460588235,0.856,-1.034705882,5.653764706,92.71647059,2828.2,130.0,121.0,113.0,148.0,,115.0,19374
518516,2020,"Bumgarner, Madison",0.985555556,-0.927826087,0.514710145,,0.69,-0.166770186,1.443297101,,2.906666667,2.875838509,2.845978261,,5.628888889,5.698571429,5.73423913,,83.08888889,76.91180124,88.3807971,,1684.222222,2492.726708,2394.65942,,1.015,1.195,2.8225,5.7075,88.2,2419.0,-0.352269231,0.633423077,2.915692308,5.706153846,83.54961538,2491.890625,92.0,98.0,95.0,,107.0,75.0,5524
605164,2020,"Bundy, Dylan",-1.084285714,0.673697479,-0.411169591,0.355333333,0.696912442,-1.074201681,1.583596491,-0.086196078,-2.306129032,-2.161932773,-2.260175439,-2.453568627,6.064562212,6.229579832,6.152953216,6.002509804,82.20322581,73.45714286,89.98070175,79.91137255,1620.293839,2349.336134,2423.765396,2538.34902,-1.069882353,1.321529412,-2.164823529,6.212352941,90.65647059,2348.352941,,,,,,,84.0,89.0,,104.0,93.0,90.0,12917
669203,2020,"Burnes, Corbin",-1.032300885,0.916847826,-0.2288,0.647890625,0.581858407,-0.509130435,1.3568,0.04265625,-0.897610619,-0.583913043,-0.786,-0.904453125,5.743097345,6.093152174,6.0132,5.83390625,88.90176991,81.1076087,96.1,86.71328125,1953.539823,2963.358696,2668.52,2908.6875,-0.980538922,1.096107784,-0.817005988,5.978323353,95.9739521,2683.317365,0.359213836,0.791823899,-0.922893082,5.891289308,93.14937107,2917.735849,116.0,94.0,135.0,114.0,115.0,139.0,19361
621142,2020,"Buttrey, Ty",-1.413809524,,-1.10811245,0.052210526,0.233809524,,1.101927711,-0.209052632,-2.499761905,,-2.203935743,-2.388526316,6.433571429,,6.508072289,6.598105263,86.19761905,,96.06144578,82.19684211,1824.582278,,2232.164659,1912.063158,,,,,,,,,,,,,97.0,,,75.0,86.0,,14719
