,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
117,"McCullers Jr., Lance",621121,,,,,,,,,1.2476909671565668,2.0071500517612826,0.14970048403793945,0.6097586005667761,1.8304891940828298,125.62879736673085,0.007361733423399519,0.15675856459368376,0.8448222361005561,0.5695380772153708,2.4269876449387136,1.012627331622787,1.6471982904567994,1241.1206458251368,0.046119442291630675,0.0778648392412391,1.3772486737138745,0.2724141292365999,2.129863696959943,0.4802008940094685,9.768250820672762,808.3800456086437,0.17846694381769956,0.05528408487016545,1.3556392774302384,1.1117368384058481,0.745712729317495,0.5018102902931048,5.5974625711674975,385.35809953475245,0.031508399522035324,0.05784107682575357
118,"McKenzie, Triston",663474,2.3870384572738024,0.4550318783264341,0.7928894699881727,1.1391171089591956,12.732106556771143,108.95744012418663,0.29024273728562977,0.07004379804849226,1.1576232090838832,1.1488136852743596,0.09910766304024726,0.0902981392307235,7.030439629035129,15.128797336662501,0.06559226562035536,0.006163872540277282,1.9927078651685393,0.11569213483146057,1.3636134831460673,0.7447865168539326,6.678280898876395,524.8615730337078,0.07099438202247188,0.04227528089887578,,,,,,,,,,,,,,,,
119,"Means, John",607644,2.253729522040196,1.1360234288502318,1.6469920152376663,2.7646981084276305,14.765620484527759,121.54757570626225,0.3331826924881307,0.07305757285743741,1.3346207544636863,0.29272331856625056,0.803691904953685,1.845589340851121,8.310200026849245,48.368779933436144,0.06752691636461261,0.03402376157873466,1.9940570556952633,1.6502617801047121,2.1612303664921466,2.505025642082698,5.366424537246985,22.056692913386087,0.08713402316856977,0.010038298223192577,,,,,,,,,,,,,,,,
120,"Megill, Tylor",656731,2.0906556627729813,0.04630523108176743,1.0603961401726765,1.0765647536820722,14.850525647536827,20.603732859319734,0.10431589639410865,0.1506041137633316,0.9904545454545454,0.9350062695924763,0.07908463949843259,0.023636363636363622,5.973432601880887,47.2951410658311,0.07614733542319763,0.1151144200626959,1.4579314685314686,0.3610839160839162,1.3751748251748253,0.4438405594405595,5.702594405594411,678.2319580419583,0.17267412587412578,0.26986083916083903,,,,,,,,,,,,,,,,
121,"Melancon, Mark",453343,2.266801652892562,0.4691349862258952,1.0730964187327823,0.7245702479338842,9.468154269972459,350.2826446280992,0.2066611570247936,0.020909090909091432,,,,,,,,,,,,,,,,,,,,,,,,,2.086725895316804,1.2888471074380163,0.25338429752066116,0.5444944903581268,9.720275482093655,343.8959981941084,0.14382782369145986,0.014742424242424335
122,"Miley, Wade",489119,2.114932596103212,0.9599088994207478,1.1157977883096366,2.2708214849921013,15.155729331226965,151.825961032122,0.3195255397577672,0.14796471827277635,1.0572951907131012,0.245988391376451,0.09009950248756216,1.21318407960199,4.48699834162521,81.14593698175759,0.3073001658374792,0.29797678275290096,1.294997485462832,1.957119126198334,2.113008015087223,1.4508863743517209,7.196748389124622,584.442286171063,0.20865189376080484,0.14727801351563663,1.751637992831541,1.8716379928315412,2.02752688172043,1.90752688172043,13.976093189964146,365.94444444444434,0.07597132616487468,0.05885304659498125,1.3035504924974686,0.3963673939059192,0.5522562827948081,1.4594393813863573,10.679629015925627,114.53829826504216,0.16185933904078076,0.12262542575715774
123,"Mills, Alec",621219,2.058556352641252,0.10915515503646167,1.823567617240766,0.12583358036402448,22.886111934546747,150.61689412184478,0.11898351811229002,0.07976670421533161,0.5888496185684142,2.271554536601201,0.33883176432397333,1.3438731537088136,10.788455607855866,210.8180490180166,0.1069659957799054,0.17440472325921075,1.227672659904027,0.35763408856223056,2.2903568608394584,0.7050501123732005,13.239710259369488,571.554273218733,0.04994472453380272,0.1894733645143658,1.518256590719313,0.4583217225336992,2.391044494810927,0.4144661815579147,23.232582607658344,160.5240948007845,0.10291375402600478,0.13511487534295608,,,,,,,,
124,"Minor, Mike",501985,2.240016336152078,1.177549728850208,0.7422699234974098,1.8047365307992798,10.484696882048212,50.93362042488661,0.17432524542143601,0.15883515002610693,1.1726528324479943,0.5764573699698093,0.14117756461701125,0.7373730270951961,5.166295970751975,229.89255627852253,0.18021553865555862,0.16096202596145215,1.9887341778143846,2.41787814668598,1.9825983413331816,1.5534543724615866,4.774009486210915,255.6644465903605,0.19937023677658183,0.168053007280335,,,,,,,,,,,,,,,,
125,"Mize, Casey",663554,2.1365218314409677,0.05934791839748921,1.5719896612203452,0.5051842518231331,12.593303793962889,46.28809869375891,0.3419742453613954,0.11770654481676335,0.9887552237945644,1.1396451182138705,0.4916924614039639,0.6425823558232701,4.656096108212992,42.33710407239823,0.1402639997694326,0.18845221969238413,0.8553691001143231,0.1819385921933694,1.8132761718112038,0.7759684795035113,4.572913604442263,1094.4711538461538,0.14955311938592186,0.055420545484238914,1.591261503660932,0.5446824215727126,2.176020001190547,0.040076075956902324,11.949589856539077,135.4774859287054,0.17437692719804754,0.019964997916543048,,,,,,,,
126,"Montgomery, Jordan",656756,1.7174025384955194,0.9493929461693802,0.6985705777483275,1.4665801700744667,12.615174176448306,37.661943319837974,0.03236147923766253,0.05286594408683598,,,,,,,,,1.5557352972086766,1.1414860959307214,0.8906637275096687,1.304912928787624,2.5068732133849068,541.7648814528334,0.074081890028586,0.07335347654279456,1.3571086459499813,1.6242185750279954,1.3733962066069427,1.1062862775289286,12.44736842105263,74.30123180291139,0.023637551325121242,0.08363358529301923,1.0541572924388436,0.30122771497405487,0.05040534655300222,0.8033349240177909,7.326030392883624,114.77564862861391,0.10695329873980719,0.00029938843587817843
