,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
57,"Eflin, Zach",621107,0.4806028505392911,1.5615562403697996,0.5036132511556242,2.5457723420647147,0.5835130970724265,76.98170261941414,0.11656779661016925,0.008948382126347632,1.2291016949152542,0.28614830508474576,2.3513177966101697,0.8360677966101696,14.677471751412426,285.47867231638384,0.0360677966101699,0.12616807909604422,0.15542601923957866,0.5375881814017408,1.527581310123683,1.9097434722858453,5.177832111772787,104.61763628034805,0.003304283096655869,0.05525366468163018,0.016310028248587627,1.8813100282485875,0.18385946327683622,2.048859463276836,5.908721751412429,258.5713276836161,0.1694738700564975,0.07841807909604448,,,,,,,,
58,"Erlin, Robbie",572362,0.09888679245283027,0.6126981132075471,0.3251981132075472,0.38638679245283014,0.9292452830188722,47.09125475285191,0.02282075471698075,0.06435849056603793,2.5850769230769233,1.908153846153846,1.6206538461538462,2.297576923076923,14.2623076923077,281.4418604651164,0.012499999999999734,0.06330769230769207,,,,,,,,,0.6203333333333333,0.4971333333333332,0.20963333333333334,0.3328333333333334,7.355333333333334,814.9054054054054,0.09183333333333321,0.029133333333333233,,,,,,,,
59,"Eshelman, Thomas",664045,0.06519611450437846,1.170078004268158,0.7716042387224962,1.8764861284862757,0.6659871955258012,84.65943042166464,0.05864228420045636,0.03904923099565849,1.6857058534185931,0.6096005902606983,1.332081652729956,0.25597638957206104,10.228755533694056,3.6468273487457736,0.10266797835710784,0.00961633054599087,0.8040879196953963,0.3935694011768778,1.5481128418137764,1.137594323295258,8.675500173070276,53.78553132571824,0.12102665282104552,0.03107372793354113,0.37857225017972673,1.6048799424874192,0.3368023005032351,1.5631099928109276,7.24940330697342,497.7472322070453,0.08134004313443577,0.04288569374550644,,,,,,,,
60,"Fairbanks, Pete",664126,0.9351206010280744,0.49665875840253065,1.0844523527085803,2.5162317121391853,4.021510478449983,406.912613681297,0.19210359826018186,0.17026888098062543,,,,,,,,,0.8521055555555556,0.23255555555555557,1.3485555555555555,0.7290055555555555,6.17927777777777,355.08722222222195,0.2849055555555555,0.31662777777777773,,,,,,,,,,,,,,,,
61,"Familia, Jeurys",544727,0.740201923076923,1.3767211538461537,0.502125,2.619048076923077,0.7750961538461496,115.04793756967638,0.005509615384615474,0.07757692307692388,0.339951923076923,0.41995192307692303,1.4588942307692307,1.5388942307692308,11.403365384615398,7.971014492753511,0.35966346153846174,0.13596153846153758,0.1385665954415955,0.5042482193732193,1.3745979344729344,2.0174127492877494,6.7870690883191,100.08212560386482,0.07196616809116785,0.06248290598290662,0.1379954013377926,1.5651693143812708,0.313676839464883,1.7408507525083612,5.368582775919734,864.5289855072465,0.00118520066889638,0.08878762541805951,,,,,,,,
62,"Fedde, Erick",607200,0.04570395645462666,1.2077241584748286,0.4323830801310693,1.5944032821512715,0.11473718417417444,43.7802215705442,0.0880575188886179,0.01996533701627623,0.8708438165944868,0.2500536193029491,1.8901608579088471,0.7692634220114112,13.968758163195176,437.3699338296112,0.45328280745170835,0.26715199010105195,,,,,,,,,0.759699467116804,1.876736504153841,0.23662926554794317,0.880407771489094,6.785780955217959,259.9028225806451,0.5830311455333796,0.4490133386290669,0.29959177076797283,0.43647120339208634,1.2036360352138118,1.3405154678379252,4.767026030080046,198.96145046900028,0.20904112714619827,0.1401743578042698
63,"Fiers, Mike",571666,0.3124426605504589,1.9687735556657575,0.3960888296553434,2.6773050458715595,0.22513637490700944,18.693683362261254,0.11948642449789237,0.08756849739647965,2.419610910878113,0.21461091087811268,2.150251474442988,0.05474852555701193,15.532568807339445,535.0351408912188,0.016496559633027763,0.0639801769331596,0.13518184144157308,1.025142000804123,1.3397203845169778,2.2296805438795277,3.861054863116337,143.49519353777532,0.033411308892868696,0.12168756167988626,0.6398884205306223,2.317388420530622,0.047473964790478496,1.7249739647904785,6.09067691544756,277.44483015125206,0.23602033225886432,0.10557339449541292,,,,,,,,
64,"Flaherty, Jack",656427,0.5826031599938639,1.1551012425218592,0.5133133916244823,2.251017794140205,1.9083678478294246,161.34859641049252,0.0015171038502836964,0.04208851050774598,1.6698008959681434,0.4093827775012444,2.0777974116475857,0.001386261821801904,14.747934295669495,379.5166749626683,0.046162269785963606,0.3347486311597798,0.42023679848448975,0.13999408003788782,1.5284205541084537,1.2481778356618518,7.668718920198927,308.97774094245824,0.05529007814349951,0.0629931328439497,0.05978048780487799,1.791780487804878,0.12336585365853647,1.6086341463414635,6.309430894308946,196.05203252032516,0.1787560975609752,0.04658536585365791,,,,,,,,
65,"Fleming, Josh",676596,0.5919820717131474,0.3794820717131474,0.599362549800797,0.38686254980079693,0.0786852589641569,78.89840637450197,0.07539840637450146,0.0072609561752985385,0.7755179282868526,0.5905179282868527,1.569362549800797,1.7543625498007969,12.728685258964148,70.10159362549803,0.5078984063745016,0.15273904382470072,,,,,,,,,0.39147683239644165,0.5966053593843803,0.38223926212956405,1.370321453910386,9.038274300060039,162.72488129673093,0.2746449817169676,0.2498280849205914,0.009047289104451628,0.5737063340839541,1.5525509555978985,0.9697973324094927,5.107670766210518,26.340724060280536,0.1154708701426177,0.001036145273976885
66,"Floro, Dylan",571670,0.10620125786163515,1.7524654088050315,0.4411194968553459,2.2997861635220125,0.15798742138365185,5.0156118143459025,0.08025157232704405,0.01885534591194915,,,,,,,,,0.22677310111272375,0.7898500241896469,1.4037348814707307,1.9668118045476537,5.456619900016122,145.381423780158,0.08607321399774204,0.09955491049830645,0.5158404088050315,2.1388404088050317,0.05474449685534588,1.6777444968553459,7.277154088050324,316.4197784810126,0.32020676100628975,0.18897798742138416,,,,,,,,
