,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_CH_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CH_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_CH_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_CH_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CH_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CH_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CH_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CH_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CH_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CH_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
202,"Shreve, Chasen",592741,1.0404478897502152,0.4028090008613265,0.22835378983634802,0.40928509905254074,8.317291128337644,1144.4988372093023,0.08376291989664097,0.12279608096468575,,,,,,,,,1.059873461012312,0.9686969904240765,1.5998597811217512,1.6910362517099864,3.5489398084815207,1125.0653214774281,0.13793775649794804,0.05807113543091713,,,,,,,,,,,,,,,,
203,"Sims, Lucas",608371,1.0847277386290841,1.037559256886611,0.756726457399103,2.879013452914798,6.390711082639328,630.439393939394,0.05606021780909676,0.06534272901985805,0.8188247213779128,0.8373454913880446,2.6316312056737585,0.9754609929078013,6.140628166160084,1230.921985815603,0.0954711246200608,0.17367781155015116,0.5367588325652841,0.676036866359447,2.470322580645161,1.25752688172043,4.431797235023055,532.2365591397847,0.12443932411674341,0.22663594470046,,,,,,,,,,,,,,,,
204,"Singer, Brady",663903,0.1595142857142855,1.5619142857142858,0.6040857142857141,2.325514285714285,5.0877142857142985,32.12857142857138,0.07945714285714267,0.0003714285714284671,,,,,,,,,1.0098907730673317,0.464479301745636,1.701520698254364,1.1561092269326683,4.696503740648367,223.10249999999996,0.018063341645885522,0.024268827930173487,0.14030897226753658,2.006689396411093,0.15931060358890692,2.3063089722675363,5.525327895595439,76.45856443719413,0.13968319738988577,0.025617292006525183,,,,,,,,
205,"Skubal, Tarik",669373,0.20242771655409397,0.29596308804360727,0.13898536556464036,0.6373761701623416,11.216660741794058,774.5616186751984,0.5331360350752461,0.24200142196942753,2.2099798296727924,1.5891102644554014,1.1541618108471536,1.775031376064545,6.573644105782165,571.0726131779472,0.12765127745405636,0.04219632451815336,1.013446402837823,1.4238765103647046,0.9889280567564571,0.5784979492295754,2.898492406606806,644.9370358053432,0.541732623877619,0.33625429553264574,,,,,,,,,0.15762886597938142,0.916656848306333,0.48170839469808535,0.592577319587629,12.235051546391745,759.7496318114875,0.5157879234167897,0.4181590574374079
206,"Slegers, Aaron",642083,0.6794851994851994,1.0762290862290862,0.5332303732303731,2.2889446589446587,4.5233268983269,386.0151222651223,0.0236679536679536,0.048034105534104476,,,,,,,,,0.21406791406791403,0.34919611919611915,1.26026334026334,1.3953915453915453,1.82243012243012,488.1124971124973,0.06551166551166565,0.04905058905058901,0.13990386359513884,1.8353310357337205,0.22587157627426113,1.7493633230545982,4.608362053328506,328.05387266461094,0.016247052421549224,0.09407037910393612,,,,,,,,
207,"Smith, Josh A.",595001,0.5876318742985408,1.038294051627385,0.9935241301907969,2.6194500561167224,7.714590347923675,514.5319865319864,0.3075645342312008,0.11491582491582442,1.3624545454545456,0.6060454545454547,2.6378636363636367,0.6693636363636364,5.052045454545464,1060.293345829428,0.2672651515151516,0.1319621212121218,0.1661348175633891,0.30565862708719854,1.7261595547309834,1.8656833642547928,3.949536178107607,753.6332714904145,0.1238961038961035,0.03495361781076056,0.23678426051560375,1.9296336499321574,0.10218453188602439,2.2686024423337856,7.469335142469475,490.3622795115332,0.03504748982360928,0.03172320217096303,,,,,,,,
208,"Snell, Blake",605483,0.5884907260201379,0.47691467938526755,0.5896793852676205,0.47572602013778487,7.029104398516168,659.9013809116461,0.26672840487546345,0.10781425543190348,1.7757413632119514,1.7589159663865546,1.8716806722689077,1.8885060690943045,7.821045751633974,705.4068502994012,0.3048011204481791,0.17814565826330586,0.6787860962566845,1.2745436720142602,1.387308377896613,0.7915508021390374,0.5851871657753946,724.1278806024318,0.19905436720142577,0.08735561497326216,,,,,,,,,,,,,,,,
209,"Soria, Joakim",465657,0.8741774270683883,1.0515542802486848,0.28962219033955044,2.2153538976566236,5.36520803443328,782.295918367347,0.09792682926829266,0.29174318507890984,2.148071895424837,0.3130392156862746,1.6542156862745099,0.8068954248366014,16.171241830065355,1253.2222222222222,0.5233333333333337,0.09431372549019557,1.095688854489164,0.7036532507739938,2.044829721362229,0.24548761609907122,9.644195046439634,1232.157894736842,0.015789473684210575,0.27958978328173334,0.6047058823529411,1.645294117647059,0.3041176470588236,1.9458823529411764,6.367647058823536,796.5,0.6149999999999995,0.8023529411764709,0.3597058823529411,0.39529411764705885,0.9458823529411764,1.7008823529411763,0.9676470588235304,90.0,0.1449999999999998,0.08764705882352875
210,"Springs, Jeffrey",605488,0.579987468671679,0.028934837092731702,0.03801754385964917,0.5130350877192982,10.59115288220552,785.1358395989976,0.2671604010025064,0.5054385964912278,,,,,,,,,0.9343809523809524,1.1725627705627706,1.2395151515151515,1.0013333333333334,1.4781385281385298,733.4731601731603,0.25493073593073623,0.2900606060606057,,,,,,,,,,,,,,,,
211,"Stammen, Craig",489334,0.3964102564102564,1.756025641025641,0.3439743589743589,1.7035897435897436,4.188461538461539,82.21794871794873,0.1310256410256403,0.07820512820512882,1.8848550724637683,0.29202898550724643,1.8079710144927534,0.2151449275362317,6.6152173913043555,405.18115942028976,0.2552898550724634,0.17840579710144855,,,,,,,,,0.04417797888386121,2.087858220211161,0.01214177978883857,2.144177978883861,5.00678733031674,214.62292609351448,0.24582202111613816,0.11854449472096462,0.3819230769230769,0.8584615384615385,1.2415384615384615,1.7180769230769228,1.0076923076923094,375.15384615384596,0.2839743589743584,0.17858974358974322
