mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
605164,2020,"Bundy, Dylan",1.66979257,-0.324973512,0.766502924,1.228263158,10.06932921,114.5836237,0.193393189,0.150443412,0.988005602,0.759893557,0.318364146,-1.429535014,6.454229692,189.0128852,0.291635854,0.227070028,0.783108521,-0.998089636,1.439619048,0.341579109,2.291853257,918.0551807,0.147439595,0.062052408,1.40772549,-0.983686275,1.425215686,0.966196078,10.74509804,189.9960784,0.288745098,0.209843137,,,,,,,,,25.0,0.179,2.7
669203,2020,"Burnes, Corbin",1.31414375,-0.27145625,0.876690625,0.708909375,9.38671875,240.1675,0.118453125,0.17929375,0.551786685,0.874191576,0.268957201,-1.15702106,5.605672554,54.67119565,0.320540082,0.259245924,0.539202157,-1.074957135,1.68019151,-0.066032218,2.188488662,955.147677,0.006842506,0.090808905,1.053451534,-1.023195172,1.628429547,0.448217159,9.260670846,225.3701347,0.087447137,0.144417103,0.749167649,0.316557586,0.288676789,0.143933274,6.436089819,9.048349057,0.018439957,0.057383058,12.7,0.153,1.6
621142,2020,"Buttrey, Ty",1.310980342,-0.899059818,1.160322976,1.049717185,13.86460368,320.1015007,0.184590573,0.090032974,,,,,,,,,0.442862155,-1.204756892,1.46602005,0.181598997,4.000776942,87.48087941,0.111235589,0.164533835,,,,,,,,,,,,,,,,,22.2,0.382,-1.0
656288,2020,"Canning, Griffin",1.695162264,-0.51147039,0.666675869,1.539956784,6.205853369,245.5586397,0.178710628,0.055082122,0.288422901,0.845423253,0.690217773,-0.443628381,4.413593256,130.382134,0.075082543,0.057639621,0.924439474,-1.056648961,1.21185444,0.769233995,1.372435001,854.6956618,0.063151617,0.110141646,,,,,,,,,0.862207551,0.231588994,0.076383515,0.707002071,2.09588335,230.2933156,0.01182719,0.083914701,22.7,0.215,1.4
471911,2020,"Carrasco, Carlos",1.230167258,-0.762084051,1.051110896,0.941140413,7.695173759,307.9582466,0.064215187,0.09039513,0.601044929,0.756177293,0.467150447,-0.890071775,2.550717748,150.0246305,0.107740492,0.064594519,0.117370987,-0.609791175,0.898818021,-0.171655859,1.672968438,1463.073083,0.048776528,0.044481906,0.623622262,-1.329019248,1.618046093,0.334595416,6.33840699,423.0774958,0.009492212,0.00266177,,,,,,,,,27.1,0.29,1.8
641447,2020,"Castano, Daniel",0.95031502,0.310747452,0.90845237,1.548019938,10.04230394,205.9251661,0.1135144,0.063188303,,,,,,,,,1.158306011,0.952264344,1.549969262,1.756010929,1.841239754,723.3174522,0.009144467,0.018102801,0.959174556,0.926639344,1.524344262,1.556879474,7.72438236,375.5992974,0.052405911,0.014659432,,,,,,,,,25.7,0.194,2.7
624418,2020,"Castellani, Ryan",0.870239233,-1.048320977,1.147372072,0.771188138,7.537587419,186.2355448,0.010066687,0.030154011,0.898958894,0.645326821,0.546275726,-0.998009988,5.534240711,75.85297185,0.002340706,0.078668569,0.350383212,-1.240745821,1.339796915,0.251332117,0.78850365,883.3967506,0.021538145,0.06281846,0.830960135,-1.419039865,1.51809096,0.73190904,4.486580573,344.7540707,0.152251544,0.030729927,,,,,,,,,17.6,0.401,-0.2
622491,2020,"Castillo, Luis",0.999375943,-0.948893288,0.916050151,1.03221908,10.66270739,303.7329777,0.24063914,0.302509427,,,,,,,,,0.049735917,-1.40254732,1.369704182,0.082579055,1.454233254,542.0255607,0.071963618,0.109557973,0.322411563,-1.526866788,1.494023651,0.3552547,10.69841318,384.5974174,0.195417425,0.159493633,,,,,,,,,17.7,0.185,0.8
612434,2020,"Castro, Miguel",,,,,,,,,,,,,,,,,0.122364106,-1.703366231,2.090055421,-0.264325084,5.494199818,807.6339964,0.047786213,0.006366535,0.452489212,-1.661880536,2.048569725,0.065800023,11.29076766,585.6787985,0.119210765,0.026051556,,,,,,,,,31.2,0.2,0.6
656302,2020,"Cease, Dylan",1.664247406,-0.013286313,0.946864294,0.730669424,12.44326775,284.9298961,0.116910608,0.141698397,1.166272444,0.968975081,0.035397099,-2.099850425,6.045196354,120.811972,0.156729948,0.014190814,1.574117139,-0.166897354,1.100475336,0.640539157,2.147693126,1076.252641,0.164110491,0.033232283,,,,,,,,,,,,,,,,,30.1,0.304,1.2
