"mlbAM_ID","Year","player_name","FF_pfx_z_diff","FF_pfx_x_FC_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_FC_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_FC_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FC_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FC_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FC_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FC_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FC_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FC_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FC_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
641482,2021,"Cortes, Nestor",1.011819085,-0.0742980179999999,0.904612597,1.9907297,5.3524692,128.779097,0.311387696,0.136742560999999,NA,NA,NA,NA,NA,NA,NA,NA,0.14818308,-1.748836675,0.76992606,0.830727535,7.93903859999999,98.8718180000001,0.518090335,0.396874064,0.0667937489999999,0.63239544,1.611306055,0.912116866,2.40488827,921.552356,0.151908123,0.202220293,0.699534007,0.433502261,1.412412876,1.678444622,4.91217522000001,132.826594,1.187306021,0.627228873,23.5,1,106,0.341
543135,2021,"Eovaldi, Nathan",0.23004486,-1.98039168,1.056375287,1.154061253,4.34413287,168.067008,0.071662603,0.220529264,1.841994536,-0.143160291,0.780856102,-0.917978143,13.95810564,195.138434,0.12197632,0.101202185,0.800738112,-0.462276573,0.46173982,0.123278281,6.69891251999999,124.50718,0.0371791479999998,0.029611655,0.8298841,-1.885152917,0.961136524,0.094132293,4.60598448,744.605229,0.014765997,0.0069420940000002,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0.6,102,0.316
607200,2021,"Fedde, Erick",0.196244532,-0.831497404,0.551009158,0.476732778,3.759762,201.300123,0.17161407,0.112616228,0.647596123,0.649141466,0.929629712,-0.367107877,9.69102157,230.16413,0.184472638,0.188489926,NA,NA,NA,NA,NA,NA,NA,NA,0.417232756,-1.756498062,1.476009816,-0.13674451,1.77137691,505.84613,0.333461638,0.288763627,0.295580638,-1.375846527,1.095358281,0.576068884,4.41136854999999,169.503514,0.171888073,0.0770005950000003,22.9,-0.8,103,0.327
676596,2021,"Fleming, Josh",0.697159091,0.454659091,0.983704545,1.226204545,4.67613636,11.1159090000001,0.0159772729999998,0.0222272729999994,0.745487013,-1.251461039,0.722415585,-0.216441559,7.70876624,59.0623380000002,0.105775974,0.10036039,NA,NA,NA,NA,NA,NA,NA,NA,0.555072803,0.554955052,1.084000506,-0.026027349,4.51609902,250.493695,0.042811028,0.197822677,0.255590909,0.951442648,1.480488102,0.273454545,4.84299878,64.271823,0.128051099,0.0242676929999996,27,0.2,94,0.335
623167,2021,"Flexen, Chris",0.917290527,-0.78610805,0.584655266,1.118743311,3.69042118,192.342241,0.0230439539999999,0.0085337509999998,1.69571299,0.040403289,0.241856073,-1.494260206,11.85633707,408.535025,0.063171969,0.0128870989999994,NA,NA,NA,NA,NA,NA,NA,NA,0.184426976,-1.633670472,1.432217688,0.38587976,6.3570423,973.647515,0.102916468,0.16952557,NA,NA,NA,NA,NA,NA,NA,NA,29.4,-0.7,95,0.345
607231,2021,"Gant, John",0.842930591,-1.486540954,1.145641211,1.183830334,6.5476613,171.505265,0.0162590129999999,0.0317874679999992,1.657433045,0.045566955,0.386466698,-1.316533302,10.73639635,139.044041,0.336501519,0.199683337000001,0.848069409,-0.291236076,0.0496636669999999,-0.507169666,5.38018423,37.672626,0.118728792,0.0965621250000001,0.0615341949999999,-1.554456796,1.213557053,0.402433938,5.28513919,1129.88377,0.229769333,0.0927197830000006,0.564321776,-1.844438555,1.503538812,0.905221519,6.16754304,232.776085,0.05336074,0.0807849819999999,19.7,0.8,82,0.344
502043,2021,"Gibson, Kyle",0.687231372,-1.140828737,0.608001634,1.220058475,3.32756116,75.2509960000002,0.264834916,0.153320311,1.366071812,-0.0759185559999999,0.456908547,-0.833244709,10.09179378,68.0679539999996,0.0609121100000003,0.0380128549999998,0.749224522,-0.203921491,0.328905612,-0.216397419,6.01753144999999,146.116792,0.0132612170000001,0.0473396849999998,0.329332409,-1.882431367,1.349604264,0.203494694,4.71210329,725.741433,0.050186429,0.0810798769999996,0.0364932289999999,-1.918636086,1.385808983,0.496333874,2.78676045,230.944276,0.135123307,0.0174587070000002,14.9,1.6,99,0.291
594835,2021,"Gonzales, Marco",0.329717363,-0.242722706,0.64450621,1.216946279,2.85719487999999,23.7250679999997,0.22650066,0.154073898,2.204116915,-1.643474456,0.75624554,-1.316887999,10.36490038,162.887275,0.268607054,0.141617251,NA,NA,NA,NA,NA,NA,NA,NA,0.283703914,0.252755313,1.139984229,0.603525002,6.20143622,64.8654039999997,0.410797094,0.186028620999999,NA,NA,NA,NA,NA,NA,NA,NA,14.3,0.1,81,0.366
518876,2021,"Kelly, Merrill",0.238699558,-1.67081012,0.458157058,1.45135262,0.912962289999996,37.9830190000002,0.056385216,0.0057609709999999,1.888728517,-0.309527604,0.903125458,-0.676075455,9.54531198000001,242.90377,0.124521613,0.214474154,NA,NA,NA,NA,NA,NA,NA,NA,0.588552361,-2.344215868,1.131562806,0.624100701,3.59889461,351.278467,0.103567145,0.126050254000001,0.33684779,-2.344140855,1.131487793,0.875805272,0.800815939999993,79.0107899999998,0.1401641,0.0508100000000002,14.1,1.1,87,0.285
572971,2021,"Keuchel, Dallas",0.554485355,-0.226549127,0.574264126,1.355298608,3.90213959,2.85567200000014,0.057813668,0.116316992,NA,NA,NA,NA,NA,NA,NA,NA,0.614318524,-1.221245607,0.420432354,0.186494729,7.32221386,161.014659,0.151667294,0.123126255,0.224842032,0.568867853,1.369681106,0.575971221,5.58627837,582.726904,0.0384200089999999,0.0503445109999995,0.221095811,0.563492766,1.364306019,0.579717442,2.61082704,228.124035,0.161659076,0.0916337379999996,24.4,-1.4,91,0.373
