mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
605155,2020,"Brewer, Colten",2.156884682,0.729741824,1.412547332,0.014595525,13.15172117,579.5110259,0.088080895,0.120946644,1.731265634,1.63897992,0.503309237,-0.411023523,8.247911647,222.3586449,0.16331899,0.084851406,1.843313253,0.453313253,1.688975904,-0.298975904,4.794578313,790.9395973,0.503795181,0.124518072,2.060813253,0.223313253,1.918975904,-0.081475904,13.86957831,435.9395973,0.131295181,0.192018072,2.126601541,1.393673613,0.748615543,-0.015687615,12.96619993,375.9395973,0.043750136,0.101500054,32.8,0.388,-1.6
664141,2020,"Brubaker, JT",1.849952978,-0.020564263,1.351109718,0.519407524,12.8184953,607.5128527,0.129783699,0.07600627,0.855937063,0.781437063,0.549108392,-0.474608392,6.917062937,223.1972028,0.141933566,0.141300699,1.274662338,-0.449909091,1.780454545,-0.055883117,7.242337662,1098.996104,0.317246753,0.287311688,1.439019987,-0.676015474,2.006560928,0.108474533,13.18275306,558.4541586,0.167484848,0.154596389,,,,,,,,,13.7,0.262,0.9
663460,2020,"Bubic, Kris",2.342748328,1.488589912,1.342035858,2.196194273,12.94773615,390.2319823,0.094211935,0.087135804,,,,,,,,,1.840542971,2.035974626,1.889420572,1.693988917,1.151915225,827.0710065,0.298524208,0.182856796,,,,,,,,,,,,,,,,,15.9,0.22,1.4
621111,2020,"Buehler, Walker",2.719789732,0.679232456,1.422121711,0.618435565,14.87285539,496.4386287,0.036554438,0.049151832,0.983825758,2.007007576,0.094346591,-1.117528409,5.505208333,93.76609848,0.128219697,0.106268939,,,,,,,,,2.359647436,-0.034391026,2.135745192,0.258293269,15.2244391,591.6786859,0.293814103,0.188157051,1.968916667,1.573504902,0.527849265,-0.1324375,10.77167892,214.2479167,0.146789216,0.119776961,16.0,0.437,-3.6
518516,2020,"Bumgarner, Madison",1.610067288,0.681480331,1.442536232,2.371123188,11.46899586,98.06728778,0.029860248,0.035667702,,,,,,,,,0.856770186,1.152325742,1.913381643,1.617826087,6.177087647,808.5044859,0.030828157,0.06968254,1.361770186,1.181770186,1.942826087,2.122826087,11.28819876,73.72670807,0.053338509,0.008928571,0.800193263,-0.185499044,0.575556856,1.561249164,6.637814142,0.836083075,0.039853798,0.007582418,22.7,0.31,-2.2
605164,2020,"Bundy, Dylan",2.657798172,0.66303209,1.08486707,0.909899012,16.5235589,74.42926144,0.098242665,0.076626616,0.988005602,1.429535014,0.318364146,-0.759893557,6.454229692,189.0128852,0.291635854,0.227070028,1.771114123,-0.010084034,1.757983193,0.023214963,8.746082949,729.0422956,0.144196259,0.16501762,2.395731092,0.004319328,1.743579832,0.647831933,17.19932773,0.983193277,0.002890756,0.017226891,,,,,,,,,11.7,0.136,1.3
669203,2020,"Burnes, Corbin",1.865930435,0.280330435,1.145647826,0.439952174,14.9923913,294.8386957,0.202086957,0.079952174,0.551786685,1.15702106,0.268957201,-0.874191576,5.605672554,54.67119565,0.320540082,0.259245924,1.090988842,-0.52317045,1.949148711,-0.334989419,7.794161216,1009.818873,0.313697576,0.350054829,1.605238219,-0.471408487,1.897386748,0.179259958,14.8663434,280.0413304,0.233092945,0.114828821,1.300954334,0.868344271,0.55763399,-0.125023927,12.04176237,45.6228466,0.338980038,0.201862866,9.1,0.102,4.0
650893,2020,"Cabrera, Génesis",2.433366116,1.582266116,1.232183471,2.083283471,14.77531818,185.2212397,0.15694876,0.065157025,,,,,,,,,1.831873808,2.094758423,1.744675779,1.481791163,7.160664336,645.2550858,0.29862047,0.132689129,2.162482782,2.077899449,1.727816804,1.812400138,15.60265152,131.6429063,0.067565427,0.034073691,,,,,,,,,30.5,0.203,4.3
502239,2020,"Cahill, Trevor",1.982621118,0.263708075,1.612196687,0.106716356,12.3973499,778.8225673,0.117921325,0.222118012,,,,,,,,,1.084550265,-0.17189418,2.047798942,-0.791354497,4.237671958,1429.609524,0.149904762,0.133068783,1.549055138,-0.385857143,2.261761905,-0.326849624,12.40741855,837.4095238,0.163516291,0.203769424,1.142178571,1.010928571,0.86497619,-0.73372619,6.68702381,790.3380952,0.336702381,0.312071429,23.0,0.191,4.9
656288,2020,"Canning, Griffin",1.983585165,-0.223047488,1.356893642,0.849739011,10.61944662,115.1765057,0.253793171,0.112721743,0.288422901,0.443628381,0.690217773,-0.845423253,4.413593256,130.382134,0.075082543,0.057639621,1.212862376,-0.76822606,1.902072214,0.079016222,5.786028257,724.3135279,0.011930926,0.167781266,,,,,,,,,1.150630452,0.520011895,0.613834259,0.016784298,6.509476606,99.9111816,0.063255353,0.141554322,1.3,0.338,-3.5
