"mlbAM_ID","Year","index","player_name","FF_pfx_z_diff","FF_pfx_x_CH_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_CH_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_CH_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_CH_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_CH_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_CH_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_CH_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_CH_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_CH_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_CH_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
596133,2020,222,"Weaver, Luke",0.642682514,-1.503933165,0.501445623,2.648061302,9.31534779,801.424293,0.0571370009999998,0.10188351,1.640322252,-0.607784939,1.397593849,0.365056536,5.69254296999999,607.212969,0.0906637269999999,0.0935221610000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0532336519999999,-0.675362839,1.330015949,2.05861244,3.56672647000001,694.361044,0.0189433809999999,0.059318181,27.3,0.6,114,0.273
657277,2020,223,"Webb, Logan",1.211926596,-0.556073404,0.320462544,2.088462544,8.43548316,505.685771,0.215375566,0.100401207,NA,NA,NA,NA,NA,NA,NA,NA,0.065882353,1.18993464,2.066470588,0.942418301,3.20065359,1102.345243,0.1075817,0.0175816989999999,0.604349673,-1.265462827,0.388926879,1.480885621,7.11191585,383.25265,0.088404412,0.0413002450000004,0.852145969,0.04751634,0.924052288,1.728681917,5.91230937,758.387265,0.090751634,0.0609368190000001,30.7,1.6,99,0.3
642232,2020,234,"Yarbrough, Ryan",NA,NA,NA,NA,NA,NA,NA,NA,0.240038652,-1.997342022,2.860902022,-1.103598652,7.69148315,329.662696,0.298453034,0.256736629,NA,NA,NA,NA,NA,NA,NA,NA,0.46389567,0.661060619,0.202499381,-0.39966433,8.73694845,36.4230049999999,0.077192165,0.231681649,0.157273333,-0.750426667,1.613986667,-0.706286667,4.36866667,171.84012,0.39848,0.416606667,30,0.7,100,0.272
669211,2021,238,"Akin, Keegan",0.8038787,0.194531519,0.376747551,0.23259963,10.13478768,399.945986,0.060454161,0.254225669,1.061017442,-1.216320472,1.787599542,-1.632296512,5.50854475,474.287879,0.0316481679999998,0.0530144469999998,0.433380554,-1.071910814,1.643189884,-1.004659624,2.24883888000001,279.165706,0.0723380640000002,0.0803902220000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,-2.6,81,0.334
645261,2021,239,"Alcantara, Sandy",0.870182766,-1.159802264,0.457505428,2.487490458,6.24603705,233.476854,0.0640466870000002,0.0328536880000003,0.594969398,0.039967311,1.657275003,1.022338294,8.09682849000001,390.279211,0.0138624979999999,0.0518069279999995,0.007000677,-0.385703473,1.231604219,1.624308369,1.39450696,353.747786,0.0689937410000003,0.0890542390000002,0.334792807,-1.715905933,0.0985982409999999,1.952100499,5.79825031999999,319.057119,0.113030506,0.0429981240000003,NA,NA,NA,NA,NA,NA,NA,NA,23.5,0.6,114,0.289
641302,2021,240,"Alexander, Tyler",0.741547263,-0.057373899,0.521991839,0.276929323,6.84434872,726.078463,0.0547096119999999,0.0475813679999994,0.915548173,-0.895548173,1.360166113,-1.380166113,8.85980066,756.54485,0.224916944,0.144451827,0.589330224,-1.077599455,1.542217395,-1.053948164,1.50723656,884.641004,0.0374810470000002,0.0382338780000006,0.467659919,0.563873792,0.0992558519999999,0.003041979,6.5795057,649.223111,0.0142738069999999,0.0126001959999992,0.05730897,-0.947027165,1.411645105,-0.40730897,2.45969513999999,872.136447,0.0869654089999998,0.0941364079999997,18.4,0,73,0.294
663465,2021,241,"Allard, Kolby",0.581925023,-0.179454645,0.516333257,0.245046411,7.91163204,514.648348,0.146354964,0.121830583,1.578158056,-1.205867307,1.542745919,-1.915036668,7.69944742999999,290.030582,0.230915943,0.0407276369999998,NA,NA,NA,NA,NA,NA,NA,NA,0.535057803,0.272557803,0.064320809,0.198179191,8.88056358,592.424855,0.135794798,0.0602745660000003,0.335177953,-1.03411705,1.370995662,-0.672056565,2.7286235,590.848083,0.0976562909999998,0.079562385,16.8,-1.1,65,0.346
474463,2021,243,"Anderson, Brett",0.483591731,-0.0175193799999999,0.550258398,-0.0491472869999998,6.41498708,466.81021,0.227054264,0.128087855,1.651411089,-1.111867941,1.644606959,-2.184150107,6.19623684,897.331897,0.0934953239999998,0.0516639779999996,1.072727713,-0.951388427,1.484127445,-1.605466731,0.513187520000002,893.371882,0.118254661,0.275448966000001,0.179000228,0.585676699,0.0529376810000001,-0.35373879,6.9178629,274.978,0.112430081,0.0950666130000001,0.174919645,-0.671015315,1.203754333,-0.357819373,3.5269112,604.887133,0.0658076509999998,0.246759942000001,25.7,1.5,79,0.288
666120,2021,244,"Anderson, Ian",0.443130452,-1.456976865,0.394572842,2.294680159,6.51377678,399.084003,0.173006818,0.0170186709999997,1.539778667,-0.928691711,0.922857996,0.31177104,7.406851,249.29894,0.0873377829999999,0.006145182,NA,NA,NA,NA,NA,NA,NA,NA,0.397953217,-1.99871345,0.147163743,2.249502924,6.0621345,434.474303,0.154678363,0.0675292399999998,NA,NA,NA,NA,NA,NA,NA,NA,31.4,0.7,88,0.315
542881,2021,245,"Anderson, Tyler",0.383992216,-0.380059331,0.322259019,0.441792528,9.66132105999999,455.534369,0.180826238,0.0293031990000001,1.561770671,-1.629895671,1.572095359,-1.503970359,6.62093409000001,608.853125,0.031446958,0.0419900549999994,0.800104004,-1.400937338,1.343137026,-0.742303692,0.918850760000012,623.269792,0.926030291,0.920718278,0.553053199,0.385162415,0.442962727,-0.495252887,8.02123598,425.442809,0.734504579,0.870066172,0.30710841,-1.310206794,1.252406482,-0.249308098,4.30926964999999,653.508228,0.212698794,0.202034358,24.6,-0.6,69,0.298
