"mlbAM_ID","Year","player_name","CU_pfx_z_diff","CU_pfx_x_FF_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FF_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FF_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FF_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FF_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FF_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FF_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FF_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_FF_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_FF_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
605182,2020,"Clevinger, Mike",2.390908051,-1.166216693,0.894980218,-0.32971114,16.40789361,45.476095,0.367499881,0.253968254,1.468738739,-0.365595882,1.695601029,0.592458172,13.47725869,112.928314,0.0914646080000001,0.0754761909999999,0.476093236,-2.375908051,0.31471114,1.585103675,7.90048619999999,869.908194,0.144660375,0.0210052909999998,NA,NA,NA,NA,NA,NA,NA,NA,1.035722866,-1.12816731,0.933029601,1.025474045,7.09233805,183.047362,0.0200677820000001,0.0328571430000002,39.9,0.4,110,0.402
543037,2020,"Cole, Gerrit",2.433437249,-0.699242127,1.80863762,0.0744424979999999,13.35165637,298.087527,0.0657702990000002,0.149273001,1.20278481,-1.070994269,1.436885478,1.305094937,8.00448596999999,76.470108,0.0263701680000001,0.0606106740000003,0.608848243,-2.781982571,0.274102824,1.899031504,8.39868222,754.883714,0.0195919139999998,0.151004393,0.158201477,-2.848201477,0.34032173,2.34967827,0.74694092,0.440927999999985,0.158945148,0.177621308,NA,NA,NA,NA,NA,NA,NA,NA,52.5,0.7,131,0.322
456501,2020,"Cueto, Johnny",1.227915852,-0.953030007,1.167895919,0.893010074,10.70035878,115.204365,0.163645358,0.0827339270000004,0.612707544,-1.151291614,0.969634312,1.508218382,6.56487569000001,8.93556499999977,0.157615536,0.0812202090000004,0.845476191,-2.169469697,0.048543771,1.275449735,8.9430736,888.853913,0.101857864,0.103083213,0.435392157,-2.607997199,0.487071273,1.685533769,0.542997200000002,99.5273120000002,0.0098552760000001,0.0437005919999995,NA,NA,NA,NA,NA,NA,NA,NA,33,-1.8,74,0.45
594798,2020,"deGrom, Jacob",1.755732809,-0.789732809,1.179795678,0.213795678,14.50150622,154.509168,0.00051277,0.129315651,0.981747697,-1.088149682,0.881378805,0.98778079,6.06370638999999,87.91653,0.0180405799999998,0.055721772,1.076336976,-2.519722392,0.550193905,0.893191511,7.17077706000001,839.511665,0.13989348,0.0121281509999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,1.6,130,0.256
518633,2020,"Duffy, Danny",2.607376572,-2.176549504,1.160262241,-1.591089309,16.65641951,120.090816,0.022490372,0.0140130819999999,1.61591087,-1.918256549,0.901969286,-0.599623607,9.56939174999999,217.741192,0.155680518,0.0631074969999998,0.591636179,-0.326775068,0.689512195,0.424651084,8.30287941,15.2865860000002,0.169808605,0.0812093489999998,0.29699729,-0.481886179,0.534401084,0.719289973,0.0826016299999992,53.8625120000002,0.088211382,0.0482926829999996,NA,NA,NA,NA,NA,NA,NA,NA,39.1,0.9,92,0.345
643290,2020,"Dunn, Justin",1.316411922,-0.209598735,1.890168165,0.783354978,11.88176823,129.906132,0.206673326,0.100143191,1.468694639,-0.848770396,1.250996504,0.631072261,8.35081585,116.386152,0.223047785,0.0355536130000002,0.448585548,-2.391585548,0.291818648,1.651181352,4.16348252,483.732425,0.223844755,0.0575827509999999,0.484035548,-2.746535548,0.646768648,1.615731352,0.167482520000007,94.0911209999999,0.142744755,0.0255827509999999,NA,NA,NA,NA,NA,NA,NA,NA,53.6,1.5,85,0.384
543135,2020,"Eovaldi, Nathan",1.82068409,-0.450369129,1.622999665,0.252684704,17.71082258,11.3240079999996,0.27666192,0.369414196,0.825636431,-0.787215379,1.286153415,1.247732363,8.12889138,165.826427,0.279322509,0.381291527,1.040889564,-1.944413374,0.12895542,1.03247923,9.40944275,635.222695,0.131162108,0.312028369,NA,NA,NA,NA,NA,NA,NA,NA,0.654701303,-0.982375721,1.090993073,1.418667491,6.04095992000001,179.143196,0.124010391,0.266679532,37.7,-0.1,103,0.329
571666,2020,"Fiers, Mike",2.732053571,-0.527053571,1.754162645,-0.450837355,15.30743243,516.341457,0.102989865,0.023588321,0.447624502,-1.337584661,0.943631555,1.833591714,3.63591848999999,124.80151,0.152897734,0.0341190639999995,0.952331081,-2.629831081,0.348614865,1.328885135,5.86554054,296.138514,0.355506757,0.193141892000001,0.312442661,-2.677305046,0.39608883,1.968773555,0.225136380000009,18.6936840000003,0.119486425,0.0875684980000004,NA,NA,NA,NA,NA,NA,NA,NA,32.3,2.5,83,0.278
656427,2020,"Flaherty, Jack",2.252404056,-0.173220383,1.56448402,-0.514699653,16.65630214,218.168079,0.0476793729999998,0.292660120000001,1.002839959,-0.72259724,1.015107163,0.734864444,9.57708677000001,147.629145,0.0537729750000002,0.0209046220000006,0.642383648,-2.374383648,0.636679245,1.095320755,8.21779874000001,357.400629,0.177238994,0.0044968550000001,0.58260316,-2.251017794,0.513313391,1.155101243,1.90836785,161.348596,0.0015171039999999,0.0420885109999993,NA,NA,NA,NA,NA,NA,NA,NA,44.2,-0.2,94,0.41
608331,2020,"Fried, Max",2.386412471,-1.850570887,1.025145355,-1.560986939,18.74869391,666.370129,0.0693938279999999,0.0190580889999996,0.95960421,-1.960518188,1.135092656,-0.134178678,9.04152368000001,366.598491,0.27422615,0.108617308,0.478626693,-0.0865812379999999,0.738844294,0.346798839,10.01329787,574.750483,0.474468085,0.409272244,0.168182137,-0.0081821369999999,0.817243395,0.657243395,0.60038578000001,161.291442,0.074075871,0.0140574589999999,NA,NA,NA,NA,NA,NA,NA,NA,41.8,1.7,81,0.284
